label interaction num_filled freq method fit_method fit_stop chisq coefficient coefficient_err exponent exponent_err constant constant_err fixedab_constant_err dist dist_err
add normal 1 0.28 ccsd+eom full 10 2.551895585718259e-10 0.13217425520915588 0.02286597892155225 -2.183903443450641 0.11245999918388169 1.2313082200693384 8.193579917591633e-05 5.464831712201491e-06 0.0008600079306615438 8.193579917591633e-05
add normal 1 0.28 ccsd+eom full 11 1.9037739454435135e-12 0.07200643761436011 0.0018180427940190295 -1.8074250174897835 0.01592566320071306 1.2310459325214986 1.2873199407010957e-05 1.3610522431273597e-06 0.0009443574785013009 1.2873199407010957e-05
add normal 1 0.28 ccsd+eom full 12 3.640776335878699e-12 0.07021750245982955 0.00397012002489691 -1.7912962630402596 0.033312071878271864 1.231032169978456 2.2392464227038106e-05 1.0115678570867941e-06 0.0008183330215438822 2.2392464227038106e-05
add normal 1 0.28 ccsd+eom full 13 2.916807987220047e-13 0.05695576655516027 0.0013657710244420636 -1.6722327718756176 0.013604557638827747 1.2309571484882198 8.782758933030976e-06 4.971861965587204e-07 0.0007810075117802295 8.782758933030976e-06
add normal 1 0.28 ccsd+eom full 14 8.414886036281363e-14 0.05139305226740486 0.0009546697191451693 -1.6157015159856627 0.010121376167630652 1.2309230658232722 6.018285992220462e-06 3.074189154660168e-07 0.0007228241767278654 6.018285992220462e-06
add normal 1 0.28 ccsd+eom full 15 4.746230367265926e-14 0.04752699817332592 0.0009224318871614109 -1.574189886868165 0.010193677990138473 1.230899822424951 5.587919281455166e-06 2.0664279055280063e-07 0.0006691145750490346 5.587919281455166e-06
add normal 1 0.28 ccsd+eom full 16 8.457444874944913e-15 0.044139242417225825 0.000487615370554857 -1.5362813684050587 0.005618424551020248 1.2308801967878404 2.8688522889832654e-06 1.3453412045458325e-07 0.0006236382121596051 2.8688522889832654e-06
add normal 1 0.28 ccsd+eom full 17 6.476514217318896e-15 0.04201342591817425 0.0005368790322773947 -1.511678632456309 0.006302146718417717 1.2308682460965623 2.9817807602984703e-06 9.773763746798416e-08 0.0005798599034376739 2.9817807602984703e-06
add normal 1 0.28 ccsd+eom full 18 2.285776636916122e-15 0.0399340832430734 0.00039131279566409006 -1.4871137533946381 0.0047027355870846764 1.2308571609630927 2.081617491579404e-06 6.985117962027796e-08 0.0005427460369071824 2.081617491579404e-06
add normal 1 0.28 ccsd+eom full 19 1.3745305264080964e-15 0.03828298211454877 0.00036896209659153964 -1.4671807560827397 0.0045094587051458775 1.2308487036866613 1.8707923646994696e-06 5.234004292898464e-08 0.0005091333133386833 1.8707923646994696e-06
add normal 1 0.28 ccsd+eom full 20 7.634809200220662e-16 0.036782200846277445 0.0003318694505073672 -1.4487484564151472 0.0041250582227655925 1.2308413505641704 1.6121405205002714e-06 3.97277503699099e-08 0.0004794724358294644 1.6121405205002714e-06
add normal 1 0.28 hf full 8 3.856851143066382e-10 1.1433065736477586 0.6434542491368863 -5.317233125309217 0.4147231253338499 1.2732566238436027 1.4714198888982191e-05 9.067701460239725e-06 1.3053756057646027e-05 1.4714198888982191e-05
add normal 1 0.28 hf full 9 2.4144617639130285e-10 0.21177513530693468 0.3281829534795321 -4.254832314998258 1.0014818119242248 1.2732445580123464 1.9411103883353425e-05 2.2760612228383935e-05 2.607316136793436e-05 1.9411103883353425e-05
add normal 1 0.28 hf full 10 1.4948302456861807e-11 1305.360822252097 2510.21256756266 -9.201595369723377 1.0806492374139323 1.2732662580020722 2.2989496465971824e-06 2.098017949983096e-06 6.11621995050271e-07 2.2989496465971824e-06
add normal 1 0.28 hf full 11 6.7731502704656364e-12 283766625682.961 6167200045995.723 -19.09540674583195 11.186660599207558 1.273268489710314 1.176110452513577e-06 1.7467638100745096e-06 8.28584403311794e-08 1.176110452513577e-06
add normal 1 0.28 hf full 12 5.394485898725769e-12 0.00018841227548049272 0.004642469376595327 -1.8241454470160667 14.504423872902963 1.2732657778784369 2.4023474788847937e-05 7.92356495558557e-07 2.2512624733295183e-06 2.4023474788847937e-05
add normal 1 0.28 hf full 13 7.451803463891343e-12 14737.312751282998 inf -17.152036403448193 inf 1.2732684885921353 inf 9.136566886757286e-07 -1.4813814153136207e-07 inf
add normal 1 0.28 hf full 14 1.8042082977039246e-12 -70237048.96968928 inf -18.85126214561077 inf 1.273268020307434 inf 3.215906402591801e-07 2.694300749173095e-07 inf
add normal 1 0.28 hf full 15 9.045055738133847e-14 224029098514.4013 4686358630266.049 -17.185914753496636 8.816599429692783 1.2732682331257266 1.167769747572711e-07 1.6874626356059742e-07 6.99319557817546e-08 1.167769747572711e-07
add normal 1 0.28 hf+qdpt3 full 8 1.8705823809315215e-06 1.8839068942228392e-14 1.1697860512947446e-12 12.056567006809699 29.78766330193534 1.2542706268792907 0.000638001021623617 0.0006293780014587809 0.0014345006629503665 0.000638001021623617
add normal 1 0.28 hf+qdpt3 full 9 3.983134474233063e-08 2.0382308765619256e-05 3.351073326919351e-05 2.427940933432404 0.687983212005546 1.2524332400567169 0.0006426678650076434 6.255876752110824e-05 0.0041802762938094595 0.0006426678650076434
