# Data imported from Sarah's compWithOtherMethods/data.txt
#
# Additional comments from the data file for each (num_particles, freq):
#
# - (56, 1.0) no convergence until R=14
# - (56, 0.5) no convergence until R=16
# - (56, 0.28) no convergence until R=18
# - (56, 0.1) no convergence until at least R=18
#
# Rows with energy=nan indicate no convergence (marked as "nc" in data.txt)
#
num_particles freq num_shells method energy
30 0.5 16 imsrg 187.24
30 0.5 16 ccsd 187.4476
30 0.5 18 hf 189.9376
30 0.5 18 imsrg 187.1958
30 0.5 18 ccsd 187.4023
30 0.5 20 hf 189.9376
30 0.5 20 imsrg 187.1671
30 0.5 20 ccsd 187.3726
30 0.28 7 hf 139.073
30 0.28 7 imsrg 138.2659
30 0.28 8 hf 135.0536
30 0.28 8 imsrg nan
30 0.28 9 hf 131.1536
30 0.28 9 imsrg 129.7463
30 0.28 10 hf 129.6246
30 0.28 10 imsrg 127.8474
30 0.28 10 ccsd 128.0461
30 0.28 11 hf 128.0639
30 0.28 11 imsrg 126.1378
30 0.28 12 hf 127.5162
30 0.28 12 imsrg 125.3208
30 0.28 12 ccsd 125.574
30 0.28 13 hf 126.9189
30 0.28 13 imsrg 124.6269
30 0.28 14 hf 126.7486
30 0.28 14 imsrg 124.3451
30 0.28 14 ccsd 124.6214
30 0.28 16 hf 126.5257
30 0.28 16 imsrg 124.104
30 0.28 18 hf 126.4898
30 0.28 18 imsrg 124.0579
30 0.28 20 hf 126.4878
30 0.28 20 imsrg 124.041
30 0.1 9 hf 68.01272
30 0.1 9 imsrg 66.91276
30 0.1 10 hf 66.51783
30 0.1 10 imsrg nan
30 0.1 10 ccsd 65.3814
30 0.1 11 hf 65.02427
30 0.1 11 imsrg 63.62582
30 0.1 12 hf 64.28835
30 0.1 12 imsrg nan
30 0.1 12 ccsd 62.9388
30 0.1 13 hf 63.53191
30 0.1 13 imsrg 61.81515
30 0.1 14 hf 63.16953
30 0.1 14 imsrg 61.23935
30 0.1 14 ccsd 61.6347
30 0.1 16 hf 62.11632
30 0.1 16 imsrg 60.65165
30 0.1 18 hf 62.36082
30 0.1 18 imsrg 60.47087
30 0.1 20 hf 62.27164
30 0.1 20 imsrg 60.43186
42 1.0 8 hf 574.7947
42 1.0 8 imsrg 573.5344
42 1.0 9 hf 564.9986
42 1.0 9 imsrg nan
42 1.0 10 hf 555.3932
42 1.0 10 imsrg 553.0438
42 1.0 10 ccsd 553.1292
42 1.0 11 hf 552.4725
42 1.0 11 imsrg 549.5708
42 1.0 12 hf 549.3884
