# num_shells num_filled freq ml p   label energy
          15          5  0.1  2  27 rm    3.4345121504560856
          15          5  0.1  2  46 add   3.8829010131868182
          15          5  1.0  0  25 rm    16.77091939440782
          15          5  1.0  0  48 add   18.832371935289373
          15          5  1.0  1  17 rm    16.106780583180058
          15          5  1.0  1  34 add   18.151102716587303
          15          5  1.0  2  27 rm    16.73956417572653
          15          5  1.0  2  46 add   18.803890977853033
          15          5 0.28  0  25 rm    6.848392612390805
          15          5 0.28  0  48 add   7.651625631407806
          15          5 0.28  1  17 rm    6.688793666200904
          15          5 0.28  1  34 add   7.496932858283239
          15          5 0.28  2  27 rm    6.840986539321565
          15          5 0.28  2  46 add   7.641226925040061
          15          6  1.0  0  25 rm    20.58723029349978
          15          6  1.0  0  48 add   22.60570293792472
          15          6  1.0  1  37 rm    21.22151331184727
          15          6  1.0  1  62 add   23.3590306454657
          15          6  1.0  2  27 rm    20.561846741361144
          15          6  1.0  2  46 add   22.560808416834075
          15          6 0.28  0  25 rm    8.715073863094343
          15          6 0.28  0  48 add   9.576639509673214
          15          6 0.28  1  37 rm    8.902537338977409
          15          6 0.28  1  62 add   9.842410615675217
          15          6 0.28  2  27 rm    8.706106926123537
          15          6 0.28  2  46 add   9.550262182463879
          15          7  1.0  0  49 rm    26.074842754414522
          15          7  1.0  0  80 add   28.302780129963597
          15          7  1.0  1  37 rm    25.443174230862258
          15          7  1.0  1  62 add   27.627706596139834
          15          7  1.0  2  51 rm    26.03983092013732
          15          7  1.0  2  78 add   28.263360238193435
          15          7 0.28  0  49 rm    11.315179278686578
          15          7 0.28  0  80 add   12.288264470617932
          15          7 0.28  1  37 rm    11.127422658570978
          15          7 0.28  1  62 add   12.104141954203838
          15          7 0.28  2  51 rm    11.290411013110578
          15          7 0.28  2  78 add   12.267964051217227
          16          5  0.1  0  25 rm    3.394390907130638
          16          5  0.1  0  48 add   3.8591741842622715
          16          5  0.1  1  17 rm    3.3379288301413688
          16          5  0.1  1  34 add   3.7800563779333527
          16          5  0.1  2  27 rm    3.394790063568779
          16          5  0.1  2  46 add   3.8529504087357243
          16          5  1.0  0  25 rm    16.768403692213703
          16          5  1.0  0  48 add   18.832710788420446
