# term_ids 3 and 4: QDPT2
# term_ids 5 to 22: QDPT3
#
# Functional dependencies:
#
#   * (num_shells, num_filled, freq, method, p, term_id) -> correction
#
interaction num_shells num_filled freq method p term_id correction
normal 2 1 1.0 hf 4 4 0.037376318209232165
normal 2 1 1.0 hf 4 5 0.0
normal 2 1 1.0 hf 4 6 0.015604905185367399
normal 2 1 1.0 hf 4 7 -0.015604905185367397
normal 2 1 1.0 hf 4 8 -0.017834177354705584
normal 2 1 1.0 hf 4 9 0.0
normal 2 1 1.0 hf 4 10 0.0
normal 2 1 1.0 hf 4 11 -0.044585443386763984
normal 2 1 1.0 hf 4 12 0.03343908254007302
normal 2 1 1.0 hf 4 13 0.0
normal 2 1 1.0 hf 4 14 0.0
normal 2 1 1.0 hf 4 15 0.0
normal 2 1 1.0 hf 4 16 0.0
normal 2 1 1.0 hf 4 17 0.0
normal 2 1 1.0 hf 4 18 0.0
normal 2 1 1.0 hf 4 19 0.0
normal 2 1 1.0 hf 4 20 0.02229272169338199
normal 2 1 1.0 hf 4 21 0.022292721693381992
normal 2 1 1.0 hf 4 22 0.022292721693381992
normal 2 1 1.0 imsrg 0 3 -1.1140936915115865e-09
normal 2 1 1.0 imsrg 0 4 0.0
normal 2 1 1.0 imsrg 0 5 3.7193796044878154e-10
normal 2 1 1.0 imsrg 0 6 0.0
normal 2 1 1.0 imsrg 0 7 0.0
normal 2 1 1.0 imsrg 0 8 0.0
normal 2 1 1.0 imsrg 0 9 4.3098309471123164e-10
normal 2 1 1.0 imsrg 0 10 4.3098309471123164e-10
normal 2 1 1.0 imsrg 0 11 -4.3098309471123164e-10
normal 2 1 1.0 imsrg 0 12 6.318293220128793e-10
normal 2 1 1.0 imsrg 0 13 0.0
normal 2 1 1.0 imsrg 0 14 0.0
normal 2 1 1.0 imsrg 0 15 0.0
normal 2 1 1.0 imsrg 0 16 0.0
normal 2 1 1.0 imsrg 0 17 -6.318293220128793e-10
normal 2 1 1.0 imsrg 0 18 -6.318293220128793e-10
normal 2 1 1.0 imsrg 0 19 -6.318293220128793e-10
normal 2 1 1.0 imsrg 0 20 0.0
normal 2 1 1.0 imsrg 0 21 0.0
normal 2 1 1.0 imsrg 0 22 0.0
normal 2 1 1.0 imsrg 4 3 0.0
normal 2 1 1.0 imsrg 4 4 5.570468457536694e-10
normal 2 1 1.0 imsrg 4 5 0.0
normal 2 1 1.0 imsrg 4 6 1.859689802238112e-10
normal 2 1 1.0 imsrg 4 7 -1.8596898022381117e-10
normal 2 1 1.0 imsrg 4 8 -2.1549154735479427e-10
normal 2 1 1.0 imsrg 4 9 0.0
normal 2 1 1.0 imsrg 4 10 0.0
normal 2 1 1.0 imsrg 4 11 -6.318293220128794e-10
normal 2 1 1.0 imsrg 4 12 4.3249401212177643e-10
normal 2 1 1.0 imsrg 4 13 0.0
normal 2 1 1.0 imsrg 4 14 0.0
normal 2 1 1.0 imsrg 4 15 0.0
normal 2 1 1.0 imsrg 4 16 0.0
normal 2 1 1.0 imsrg 4 17 0.0
normal 2 1 1.0 imsrg 4 18 0.0
normal 2 1 1.0 imsrg 4 19 0.0
normal 2 1 1.0 imsrg 4 20 3.1591466100523525e-10
normal 2 1 1.0 imsrg 4 21 3.159146610052353e-10
normal 2 1 1.0 imsrg 4 22 3.159146610052353e-10
normal 3 1 0.1 hf 0 3 -0.06924996206277184
normal 3 1 0.1 hf 0 4 0.010888808083582358
normal 3 1 0.1 hf 0 5 0.062008432603090816
normal 3 1 0.1 hf 0 6 0.0010935080200200878
normal 3 1 0.1 hf 0 7 -0.0010935080200200878
normal 3 1 0.1 hf 0 8 -0.008817630040958528
normal 3 1 0.1 hf 0 9 0.03850938614183106
normal 3 1 0.1 hf 0 10 0.03850938614183106
normal 3 1 0.1 hf 0 11 -0.038509386141831074
normal 3 1 0.1 hf 0 12 0.059826718476114045
normal 3 1 0.1 hf 0 13 0.0010935080200200876
normal 3 1 0.1 hf 0 14 0.001093508020020088
normal 3 1 0.1 hf 0 15 -0.0012635839682641169
normal 3 1 0.1 hf 0 16 -0.0012635839682641169
normal 3 1 0.1 hf 0 17 -0.05982671847611406
normal 3 1 0.1 hf 0 18 -0.05982671847611406
normal 3 1 0.1 hf 0 19 -0.05982671847611404
normal 3 1 0.1 hf 0 20 0.014827179627423626
normal 3 1 0.1 hf 0 21 0.001263583968264117
normal 3 1 0.1 hf 0 22 0.001263583968264117
normal 3 1 0.1 hf 4 3 -0.05821136287818647
normal 3 1 0.1 hf 4 4 0.024978172126667076
normal 3 1 0.1 hf 4 5 0.0472676359313992
normal 3 1 0.1 hf 4 6 0.0222403249239043
normal 3 1 0.1 hf 4 7 -0.0222403249239043
normal 3 1 0.1 hf 4 8 -0.015076584653644969
normal 3 1 0.1 hf 4 9 0.0
normal 3 1 0.1 hf 4 10 0.0
normal 3 1 0.1 hf 4 11 -0.059755016165842105
normal 3 1 0.1 hf 4 12 0.052221963330575896
normal 3 1 0.1 hf 4 13 0.001473649072299832
normal 3 1 0.1 hf 4 14 0.001473649072299832
normal 3 1 0.1 hf 4 15 -0.0017028492782075303
normal 3 1 0.1 hf 4 16 -0.0017028492782075303
normal 3 1 0.1 hf 4 17 -0.004794347558049287
normal 3 1 0.1 hf 4 18 -0.004794347558049287
normal 3 1 0.1 hf 4 19 -0.06798418315171091
normal 3 1 0.1 hf 4 20 0.023394337068531782
normal 3 1 0.1 hf 4 21 0.023394337068531782
normal 3 1 0.1 hf 4 22 0.023394337068531782
normal 3 1 0.1 imsrg 0 3 -5.846383143347252e-08
normal 3 1 0.1 imsrg 0 4 0.005146651553743732
normal 3 1 0.1 imsrg 0 5 7.536597225448526e-09
normal 3 1 0.1 imsrg 0 6 1.265385580071219e-06
normal 3 1 0.1 imsrg 0 7 -1.265385580071219e-06
normal 3 1 0.1 imsrg 0 8 -0.0012848954460030549
normal 3 1 0.1 imsrg 0 9 8.127483028916456e-09
normal 3 1 0.1 imsrg 0 10 8.127483028916456e-09
normal 3 1 0.1 imsrg 0 11 -8.127483028916456e-09
normal 3 1 0.1 imsrg 0 12 2.843008810228877e-08
normal 3 1 0.1 imsrg 0 13 1.265385580071219e-06
normal 3 1 0.1 imsrg 0 14 1.265385580071219e-06
normal 3 1 0.1 imsrg 0 15 -2.668679467110816e-07
normal 3 1 0.1 imsrg 0 16 -2.668679467110816e-07
normal 3 1 0.1 imsrg 0 17 -2.8430088102288776e-08
normal 3 1 0.1 imsrg 0 18 -2.8430088102288776e-08
normal 3 1 0.1 imsrg 0 19 -2.843008810228876e-08
normal 3 1 0.1 imsrg 0 20 0.004892102224041972
normal 3 1 0.1 imsrg 0 21 2.668679467110816e-07
normal 3 1 0.1 imsrg 0 22 2.668679467110816e-07
normal 3 1 0.1 imsrg 4 3 -0.15137760778969658
normal 3 1 0.1 imsrg 4 4 5.549921141325661e-09
normal 3 1 0.1 imsrg 4 5 0.07684918234291181
normal 3 1 0.1 imsrg 4 6 -4.265687596854613e-10
normal 3 1 0.1 imsrg 4 7 4.265687596854613e-10
normal 3 1 0.1 imsrg 4 8 -7.83730526509792e-10
normal 3 1 0.1 imsrg 4 9 0.0
normal 3 1 0.1 imsrg 4 10 0.0
normal 3 1 0.1 imsrg 4 11 -3.5892533825274414e-08
normal 3 1 0.1 imsrg 4 12 2.4091825907316996e-08
normal 3 1 0.1 imsrg 4 13 1.7792415084243898e-06
normal 3 1 0.1 imsrg 4 14 1.7792415084243898e-06
normal 3 1 0.1 imsrg 4 15 -3.7523940175580275e-07
normal 3 1 0.1 imsrg 4 16 -3.752394017558027e-07
normal 3 1 0.1 imsrg 4 17 -2.8789990648628158e-05
normal 3 1 0.1 imsrg 4 18 -2.8789990648628158e-05
normal 3 1 0.1 imsrg 4 19 -0.15642020577790328
normal 3 1 0.1 imsrg 4 20 3.461105281003964e-09
normal 3 1 0.1 imsrg 4 21 3.461105281003963e-09
normal 3 1 0.1 imsrg 4 22 3.461105281003963e-09
normal 3 1 0.28 hf 0 3 -0.0884356215665994
normal 3 1 0.28 hf 0 4 0.020876729018811904
normal 3 1 0.28 hf 0 5 0.06095059862306904
normal 3 1 0.28 hf 0 6 0.00039542872221567346
normal 3 1 0.28 hf 0 7 -0.0003954287222156744
normal 3 1 0.28 hf 0 8 -0.01381625157262606
normal 3 1 0.28 hf 0 9 0.04235278934758033
normal 3 1 0.28 hf 0 10 0.042352789347580314
normal 3 1 0.28 hf 0 11 -0.042352789347580334
normal 3 1 0.28 hf 0 12 0.06223866145100651
normal 3 1 0.28 hf 0 13 0.0003954287222156737
normal 3 1 0.28 hf 0 14 0.0003954287222156741
normal 3 1 0.28 hf 0 15 -0.0019137020422632586
normal 3 1 0.28 hf 0 16 -0.0019137020422632586
normal 3 1 0.28 hf 0 17 -0.062238661451006524
normal 3 1 0.28 hf 0 18 -0.062238661451006524
normal 3 1 0.28 hf 0 19 -0.06223866145100651
normal 3 1 0.28 hf 0 20 0.021455528880134946
normal 3 1 0.28 hf 0 21 0.0019137020422632586
normal 3 1 0.28 hf 0 22 0.0019137020422632586
normal 3 1 0.28 hf 4 3 -0.06914745265651438
normal 3 1 0.28 hf 4 4 0.03265240187371143
normal 3 1 0.28 hf 4 5 0.039881636772306446
normal 3 1 0.28 hf 4 6 0.022718795923828635
normal 3 1 0.28 hf 4 7 -0.022718795923828635
normal 3 1 0.28 hf 4 8 -0.017182290624692436
normal 3 1 0.28 hf 4 9 0.0
normal 3 1 0.28 hf 4 10 0.0
normal 3 1 0.28 hf 4 11 -0.062306136529380225
normal 3 1 0.28 hf 4 12 0.05220745656074565
normal 3 1 0.28 hf 4 13 0.00043661294654600646
normal 3 1 0.28 hf 4 14 0.0004366129465460074
normal 3 1 0.28 hf 4 15 -0.0021130156727157258
normal 3 1 0.28 hf 4 16 -0.0021130156727157258
normal 3 1 0.28 hf 4 17 -0.0032028123373522696
normal 3 1 0.28 hf 4 18 -0.0032028123373522696
normal 3 1 0.28 hf 4 19 -0.05899630609971264
normal 3 1 0.28 hf 4 20 0.025277252385048406
normal 3 1 0.28 hf 4 21 0.0252772523850484
normal 3 1 0.28 hf 4 22 0.0252772523850484
normal 3 1 0.28 imsrg 0 3 -5.1996435998462124e-08
normal 3 1 0.28 imsrg 0 4 0.01900622400445946
normal 3 1 0.28 imsrg 0 5 7.961481857772065e-09
normal 3 1 0.28 imsrg 0 6 1.5182645843271364e-06
normal 3 1 0.28 imsrg 0 7 -1.5182645843271362e-06
normal 3 1 0.28 imsrg 0 8 -0.00757687566196317
normal 3 1 0.28 imsrg 0 9 1.1978968709428775e-08
normal 3 1 0.28 imsrg 0 10 1.1978968709428775e-08
normal 3 1 0.28 imsrg 0 11 -1.1978968709428771e-08
normal 3 1 0.28 imsrg 0 12 2.4194968359359166e-08
normal 3 1 0.28 imsrg 0 13 1.518264584327136e-06
normal 3 1 0.28 imsrg 0 14 1.5182645843271356e-06
normal 3 1 0.28 imsrg 0 15 -4.058881878959662e-07
normal 3 1 0.28 imsrg 0 16 -4.0588818789596607e-07
normal 3 1 0.28 imsrg 0 17 -2.419496835935916e-08
normal 3 1 0.28 imsrg 0 18 -2.419496835935916e-08
normal 3 1 0.28 imsrg 0 19 -2.4194968359359163e-08
normal 3 1 0.28 imsrg 0 20 0.01695570620915353
normal 3 1 0.28 imsrg 0 21 4.05888187895966e-07
normal 3 1 0.28 imsrg 0 22 4.058881878959659e-07
normal 3 1 0.28 imsrg 4 3 -0.07023385274923676
normal 3 1 0.28 imsrg 4 4 6.002187315372399e-09
normal 3 1 0.28 imsrg 4 5 0.03654530950816388
normal 3 1 0.28 imsrg 4 6 5.293136793638883e-10
normal 3 1 0.28 imsrg 4 7 -5.293136793638883e-10
normal 3 1 0.28 imsrg 4 8 -1.6265233462914924e-09
normal 3 1 0.28 imsrg 4 9 0.0
normal 3 1 0.28 imsrg 4 10 0.0
normal 3 1 0.28 imsrg 4 11 -2.808345223115785e-08
normal 3 1 0.28 imsrg 4 12 2.0988785059509916e-08
normal 3 1 0.28 imsrg 4 13 1.3350135657079678e-06
normal 3 1 0.28 imsrg 4 14 1.335013565707968e-06
normal 3 1 0.28 imsrg 4 15 -3.568984237631303e-07
normal 3 1 0.28 imsrg 4 16 -3.568984237631303e-07
normal 3 1 0.28 imsrg 4 17 9.704272258355544e-07
normal 3 1 0.28 imsrg 4 18 9.704272258355544e-07
normal 3 1 0.28 imsrg 4 19 -0.06276454481031551
normal 3 1 0.28 imsrg 4 20 3.813215628694826e-09
normal 3 1 0.28 imsrg 4 21 3.813215628694832e-09
normal 3 1 0.28 imsrg 4 22 3.813215628694832e-09
normal 3 1 0.5 hf 0 3 -0.0970426840933259
normal 3 1 0.5 hf 0 4 0.026974376197609277
normal 3 1 0.5 hf 0 5 0.05602658442162752
normal 3 1 0.5 hf 0 6 -0.00012489603035158265
normal 3 1 0.5 hf 0 7 0.00012489603035158297
normal 3 1 0.5 hf 0 8 -0.015354628118337996
normal 3 1 0.5 hf 0 9 0.04131270643199675
normal 3 1 0.5 hf 0 10 0.04131270643199674
normal 3 1 0.5 hf 0 11 -0.04131270643199675
normal 3 1 0.5 hf 0 12 0.058821368324930436
normal 3 1 0.5 hf 0 13 -0.00012489603035158297
normal 3 1 0.5 hf 0 14 -0.00012489603035158327
normal 3 1 0.5 hf 0 15 -0.002034867214241558
normal 3 1 0.5 hf 0 16 -0.002034867214241558
normal 3 1 0.5 hf 0 17 -0.058821368324930436
normal 3 1 0.5 hf 0 18 -0.058821368324930436
normal 3 1 0.5 hf 0 19 -0.058821368324930436
normal 3 1 0.5 hf 0 20 0.022754620896669256
normal 3 1 0.5 hf 0 21 0.002034867214241558
normal 3 1 0.5 hf 0 22 0.002034867214241558
normal 3 1 0.5 hf 4 3 -0.07318197677081163
normal 3 1 0.5 hf 4 4 0.03641967378972932
normal 3 1 0.5 hf 4 5 0.03379749791309287
normal 3 1 0.5 hf 4 6 0.021344969625948687
normal 3 1 0.5 hf 4 7 -0.021344969625948687
normal 3 1 0.5 hf 4 8 -0.017100027567155597
normal 3 1 0.5 hf 4 9 0.0
normal 3 1 0.5 hf 4 10 0.0
normal 3 1 0.5 hf 4 11 -0.05897352251794988
normal 3 1 0.5 hf 4 12 0.04838095939894601
normal 3 1 0.5 hf 4 13 -0.00012620224608432402
normal 3 1 0.5 hf 4 14 -0.00012620224608432355
normal 3 1 0.5 hf 4 15 -0.0020561487198410334
normal 3 1 0.5 hf 4 16 -0.0020561487198410334
normal 3 1 0.5 hf 4 17 -0.0023518025080878353
normal 3 1 0.5 hf 4 18 -0.0023518025080878353
normal 3 1 0.5 hf 4 19 -0.05060486062061271
normal 3 1 0.5 hf 4 20 0.024410137894238022
normal 3 1 0.5 hf 4 21 0.024410137894238026
normal 3 1 0.5 hf 4 22 0.024410137894238026
normal 3 1 0.5 imsrg 0 3 -1.753526437562901e-08
normal 3 1 0.5 imsrg 0 4 0.027651673878613104
normal 3 1 0.5 imsrg 0 5 2.4102906291581325e-09
normal 3 1 0.5 imsrg 0 6 8.436010083418701e-07
normal 3 1 0.5 imsrg 0 7 -8.436010083418701e-07
normal 3 1 0.5 imsrg 0 8 -0.011190308894439848
normal 3 1 0.5 imsrg 0 9 4.220220405269963e-09
normal 3 1 0.5 imsrg 0 10 4.2202204052699626e-09
normal 3 1 0.5 imsrg 0 11 -4.2202204052699626e-09
normal 3 1 0.5 imsrg 0 12 7.4428246470060326e-09
normal 3 1 0.5 imsrg 0 13 8.436010083418701e-07
normal 3 1 0.5 imsrg 0 14 8.436010083418699e-07
