num_shells num_filled freq ml p   label energy
          11          3  1.0  0   9 rm    7.9621516308898155
          11          3  1.0  1  14 add   8.970882144948598
          11          3  1.0  1   5 rm    7.444391265128483
          11          3  1.0  2  22 add   9.605771353155609
          11          3  1.0  2  11 rm    7.9104054219048345
          11          4  1.0  0  24 add   12.072211731741325
          11          4  1.0  0   9 rm    10.63269495566519
          11          4  1.0  1  34 add   12.70924966696905
          11          4  1.0  1  17 rm    11.126246801339581
          11          4  1.0  2  22 add   12.02152213766932
          11          4  1.0  2  11 rm    10.597640823717411
          12          2  0.1  0   8 add   1.0339216681204082
          12          2  0.1  0   1 rm    0.7646629987561886
          12          2  0.1  1  14 add   1.1052278322286773
          12          2  0.1  1   5 rm    0.8084267976331588
          12          2  0.1  2   7 add   1.0534830688695682
          12          2 0.28  0   8 add   2.252635355367758
          12          2 0.28  0   1 rm    1.7116027043510245
          12          2 0.28  1  14 add   2.4443499654524197
          12          2 0.28  1   5 rm    1.8322604914842244
          12          2 0.28  2   7 add   2.230485716360688
          12          2  1.0  0   8 add   6.030519629919169
          12          2  1.0  0   1 rm    4.362962470192519
          12          2  1.0  1  14 add   6.768994158478063
          12          2  1.0  1   5 rm    4.860629063552797
          12          2  1.0  2   7 add   5.939756776775205
          12          3  0.1  0  24 add   1.6244970775183762
          12          3  0.1  0   9 rm    1.364880274748471
          12          3  0.1  1  14 add   1.5630317464189407
          12          3  0.1  1   5 rm    1.3267049145556533
          12          3  0.1  2  22 add   1.6122694475145367
          12          3  0.1  2  11 rm    1.3715506430419626
          12          3 0.28  0  24 add   3.567049494369195
          12          3 0.28  0   9 rm    3.032693539707007
          12          3 0.28  1  14 add   3.385319731366497
          12          3 0.28  1   5 rm    2.9067023983570506
          12          3 0.28  2  22 add   3.540486315726113
          12          3 0.28  2  11 rm    3.0199234120810745
          12          3  1.0  0  24 add   9.684258261523258
          12          3  1.0  0   9 rm    7.959676094231802
          12          3  1.0  1  14 add   8.96953711528498
          12          3  1.0  1   5 rm    7.439817039697637
          12          3  1.0  2  22 add   9.60551275350537
          12          3  1.0  2  11 rm    7.90758340898153
          12          4  0.1  0  24 add   2.20268396568164
          12          4  0.1  0   9 rm    1.9588810309004185
          12          4  0.1  1  34 add   2.273171033818194
          12          4  0.1  1  17 rm    2.006888917365261
          12          4  0.1  2  22 add   2.1892879645734897
          12          4  0.1  2  11 rm    1.9590623391915112
          12          4 0.28  0  24 add   4.601277075496923
          12          4 0.28  0   9 rm    4.1418146862284475
          12          4 0.28  1  34 add   4.768589273512239
          12          4 0.28  1  17 rm    4.260959956656195
          12          4 0.28  2  22 add   4.582795441448336
          12          4 0.28  2  11 rm    4.133597800439991
          12          4  1.0  0  24 add   12.062866383091412
          12          4  1.0  0   9 rm    10.617293869067526
          12          4  1.0  1  34 add   12.697609574126552
          12          4  1.0  1  17 rm    11.113305371357916
          12          4  1.0  2  22 add   12.009031705086192
          12          4  1.0  2  11 rm    10.582476781799885
          13          2  0.1  0   8 add   1.0353142027631554
          13          2  0.1  0   1 rm    0.7649773044427914
          13          2  0.1  1  14 add   1.1064445655932515
          13          2  0.1  1   5 rm    0.8086856907630805
          13          2  0.1  2   7 add   1.0546856856428333
          13          2 0.28  0   8 add   2.2534409021315165
          13          2 0.28  0   1 rm    1.7113580308060423
          13          2 0.28  1  14 add   2.445108290629428
          13          2 0.28  1   5 rm    1.8321450976761737
          13          2 0.28  2   7 add   2.2311534813219027
          13          2  1.0  0   8 add   6.030257890308814
          13          2  1.0  0   1 rm    4.360891059687889
          13          2  1.0  1  14 add   6.76894763043016
          13          2  1.0  1   5 rm    4.859612581025304
          13          2  1.0  2   7 add   5.939273297627392
          13          3  0.1  0  24 add   1.6258179269137025
          13          3  0.1  0   9 rm    1.3671132416233103
          13          3  0.1  1  14 add   1.5643249492214413
          13          3  0.1  1   5 rm    1.3280795466918687
          13          3  0.1  2  22 add   1.6166590228879185
          13          3  0.1  2  11 rm    1.3730407082323308
          13          3 0.28  0  24 add   3.5689529095972317
          13          3 0.28  0   9 rm    3.0323074487596666
          13          3 0.28  1  14 add   3.386117024100668
          13          3 0.28  1   5 rm    2.906015813629306
          13          3 0.28  2  22 add   3.543193962253572
          13          3 0.28  2  11 rm    3.0194114494373916
          13          3  1.0  0  24 add   9.683725064399654
          13          3  1.0  0   9 rm    7.957778155047882
          13          3  1.0  1  14 add   8.968394480930444
          13          3  1.0  1   5 rm    7.436392037087181
          13          3  1.0  2  22 add   9.605539754955757
          13          3  1.0  2  11 rm    7.905482067326358
          13          4  0.1  0  24 add   2.1507534956840124
          13          4  0.1  0   9 rm    1.905890284268131
          13          4  0.1  1  34 add   2.2161714674922246
          13          4  0.1  1  17 rm    1.955068564057891
          13          4  0.1  2  22 add   2.136841148525333
          13          4  0.1  2  11 rm    1.9119165436078052
          13          4 0.28  0  24 add   4.572379766879328
          13          4 0.28  0   9 rm    4.126563304420195
          13          4 0.28  1  34 add   4.740677298455772
          13          4 0.28  1  17 rm    4.248261011980489
          13          4 0.28  2  22 add   4.553591921745556
          13          4 0.28  2  11 rm    4.119413981622148
          13          4  1.0  0  24 add   12.05895336284605
          13          4  1.0  0   9 rm    10.610838820969603
          13          4  1.0  1  34 add   12.696323214591551
          13          4  1.0  1  17 rm    11.109055486983765
          13          4  1.0  2  22 add   12.005350243687722
          13          4  1.0  2  11 rm    10.575722686814537
          14          2  0.1  0   8 add   1.0364868395777864
          14          2  0.1  0   1 rm    0.7651591870115868
          14          2  0.1  1  14 add   1.1074635847986616
          14          2  0.1  1   5 rm    0.8088849496184242
          14          2  0.1  2   7 add   1.0557338505966618
          14          2 0.28  0   8 add   2.254159107479165
          14          2 0.28  0   1 rm    1.7111576927868741
          14          2 0.28  1  14 add   2.4457952293364396
          14          2 0.28  1   5 rm    1.8320590385346163
          14          2 0.28  2   7 add   2.2317559848446247
          14          2  1.0  0   8 add   6.0300921288194305
          14          2  1.0  0   1 rm    4.359205875924045
          14          2  1.0  1  14 add   6.768985617771702
          14          2  1.0  1   5 rm    4.858786647281045
          14          2  1.0  2   7 add   5.938933049827256
          14          3  0.1  0  24 add   1.6276829733112563
          14          3  0.1  0   9 rm    1.3676136935953997
          14          3  0.1  1  14 add   1.5701041161788825
          14          3  0.1  1   5 rm    1.3284495828322742
          14          3  0.1  2  22 add   1.618630684521559
          14          3  0.1  2  11 rm    1.3732736726705423
          14          3 0.28  0  24 add   3.5697644693009143
          14          3 0.28  0   9 rm    3.032009868622643
          14          3 0.28  1  14 add   3.3870288919685376
          14          3 0.28  1   5 rm    2.905491993676505
          14          3 0.28  2  22 add   3.5442715389936073
          14          3 0.28  2  11 rm    3.0190068482105703
          14          3  1.0  0  24 add   9.683190697812762
          14          3  1.0  0   9 rm    7.956336511475278
          14          3  1.0  1  14 add   8.967642501774861
          14          3  1.0  1   5 rm    7.4337490867086
          14          3  1.0  2  22 add   9.605420164166361
          14          3  1.0  2  11 rm    7.903856904567125
          14          4  0.1  0  24 add   2.1251624011002774
          14          4  0.1  0   9 rm    1.90018465608427
          14          4  0.1  1  34 add   2.185475055418569
          14          4  0.1  1  17 rm    1.944463602901383
          14          4  0.1  2  22 add   2.1116582873475287
          14          4  0.1  2  11 rm    1.9035695495192315
          14          4 0.28  0  24 add   4.562431918658561
          14          4 0.28  0   9 rm    4.119355299277261
          14          4 0.28  1  34 add   4.721638042902158
          14          4 0.28  1  17 rm    4.239570738174067
          14          4 0.28  2  22 add   4.543706574724623
          14          4 0.28  2  11 rm    4.112102368099382
          14          4  1.0  0  24 add   12.057191848319288
          14          4  1.0  0   9 rm    10.606346346801036
          14          4  1.0  1  34 add   12.696128983512962
          14          4  1.0  1  17 rm    11.106120580200006
          14          4  1.0  2  22 add   12.003117667857051
          14          4  1.0  2  11 rm    10.5710497449045
          15          2  0.1  0   8 add   1.037537387174561
          15          2  0.1  0   1 rm    0.7653587176803756
          15          2  0.1  1  14 add   1.108381909475702
          15          2  0.1  1   5 rm    0.8090728199928521
          15          2  0.1  2   7 add   1.0566346482274804
          15          2 0.28  0   8 add   2.254792386250865
          15          2 0.28  0   1 rm    1.7109962049342067
          15          2 0.28  1  14 add   2.4464008791481953
          15          2 0.28  1   5 rm    1.8319910060975189
          15          2 0.28  2   7 add   2.232298980530432
          15          2  1.0  0   8 add   6.029991585705065
          15          2  1.0  0   1 rm    4.357812778749527
          15          2  1.0  1  14 add   6.769057187570302
          15          2  1.0  1   5 rm    4.8581035969582205
          15          2  1.0  2   7 add   5.938688750781859
          15          3  0.1  0  24 add   1.6313080458352616
          15          3  0.1  0   9 rm    1.3679873465302699
          15          3  0.1  1  14 add   1.5717533102329866
          15          3  0.1  1   5 rm    1.3287330603091883
          15          3  0.1  2  22 add   1.622948138608414
          15          3  0.1  2  11 rm    1.3735965351085246
          15          3 0.28  0  24 add   3.5705721912497133
          15          3 0.28  0   9 rm    3.031777369962053
          15          3 0.28  1  14 add   3.387775974624482
          15          3 0.28  1   5 rm    2.9050770875691043
          15          3 0.28  2  22 add   3.545271860943922
          15          3 0.28  2  11 rm    3.0186974947338
          15          3  1.0  0  24 add   9.682908526564509
          15          3  1.0  0   9 rm    7.955167371467119
          15          3  1.0  1  14 add   8.967090302643923
          15          3  1.0  1   5 rm    7.431621402477817
          15          3  1.0  2  22 add   9.605489493586155
          15          3  1.0  2  11 rm    7.902553858136732
          15          4  0.1  0  24 add   2.1134578655008283
          15          4  0.1  0   9 rm    1.8892418155324475
          15          4  0.1  1  34 add   2.16785852043153
          15          4  0.1  1  17 rm    1.9335548864414758
          15          4  0.1  2  22 add   2.101254205948318
          15          4  0.1  2  11 rm    1.8927515523704928
          15          4 0.28  0  24 add   4.562995344755542
          15          4 0.28  0   9 rm    4.1180049363752005
          15          4 0.28  1  34 add   4.721171100047202
          15          4 0.28  1  17 rm    4.238493316458778
          15          4 0.28  2  22 add   4.544037390188022
          15          4 0.28  2  11 rm    4.110608522708104
          15          4  1.0  0  24 add   12.056031703939658
          15          4  1.0  0   9 rm    10.602965099017077
          15          4  1.0  1  34 add   12.695572062224992
          15          4  1.0  1  17 rm    11.103937634061126
          15          4  1.0  2  22 add   12.00174189178117
          15          4  1.0  2  11 rm    10.567504567717286
           7          2  0.1  0   8 add   1.0024119614238927
           7          2  0.1  0   1 rm    0.747178559892741
           7          2  0.1  1  14 add   1.0920890395754075
           7          2  0.1  1   5 rm    0.7899646768790207
           7          2  0.1  2   7 add   1.0399984459047638
           7          2 0.28  0   8 add   2.2490656995909895
           7          2 0.28  0   1 rm    1.7151674267682127
           7          2 0.28  1  14 add   2.4510364762831327
           7          2 0.28  1   5 rm    1.8338669966094625
           7          2 0.28  2   7 add   2.2295527282358636
           7          2  1.0  0   8 add   6.036861177763999
           7          2  1.0  0   1 rm    4.3904518032957265
           7          2  1.0  1  14 add   6.771994643627986
           7          2  1.0  1   5 rm    4.874084603627953
           7          2  1.0  2   7 add   5.950028226920206
           7          3  0.1  0  24 add   1.8775203049772504
           7          3  0.1  0   9 rm    1.5572787353124795
           7          3  0.1  1  14 add   1.787056785949292
           7          3  0.1  1   5 rm    1.5163619397540766
           7          3  0.1  2  22 add   1.8472590072798176
           7          3  0.1  2  11 rm    1.5757782342171633
           7          3 0.28  0  24 add   3.8239484477411207
           7          3 0.28  0   9 rm    3.1788993902069413
           7          3 0.28  1  14 add   3.590404331017607
           7          3 0.28  1   5 rm    3.060912495168823
           7          3 0.28  2  22 add   3.763742959438877
           7          3 0.28  2  11 rm    3.1650590581924116
           7          3  1.0  0  24 add   9.874976600971333
           7          3  1.0  0   9 rm    8.022487360077083
           7          3  1.0  1  14 add   9.115026081956914
           7          3  1.0  1   5 rm    7.5271074176581205
