num_shells	num_filled	freq	method	energy
13	2	0.1	mp2	3.5479780953666857
13	2	0.28	hf	8.01956966717016
13	2	0.28	imsrg	7.573626172633364
13	2	0.28	mp2	7.612324258656289
13	2	1.0	hf	20.719215072764975
13	2	1.0	imsrg	20.170833989642393
13	2	1.0	mp2	20.199592933856483
13	3	0.1	hf	12.924947175368946
13	3	0.1	imsrg	12.220157092154125
13	3	0.1	mp2	12.27136513329327
13	3	0.28	hf	26.55003087407229
13	3	0.28	imsrg	25.632622345193507
13	3	0.28	mp2	25.675515660034797
13	3	1.0	hf	66.91132316567902
13	3	1.0	imsrg	65.77313763384846
13	3	1.0	mp2	65.80693338986917
13	4	0.1	hf	31.280274247238843
13	4	0.1	imsrg	29.99942120471288
13	4	0.1	mp2	30.160367757448462
13	4	0.28	hf	63.55277266323023
13	4	0.28	imsrg	61.98835272367306
13	4	0.28	mp2	62.05642713439568
13	4	1.0	hf	158.00475662472974
13	4	1.0	imsrg	156.0968381975901
13	4	1.0	mp2	156.1302969273183
13	5	0.1	hf	63.531910032505955
13	5	0.1	imsrg	61.815192991459945
13	5	0.1	mp2	62.01985068780662
13	5	0.28	hf	126.91891377246293
13	5	0.28	imsrg	124.62695985095951
13	5	0.28	mp2	124.76141351596118
13	5	1.0	hf	311.8693642177653
13	5	1.0	imsrg	309.07419961417224
13	5	1.0	mp2	309.0960659716479
13	6	1.0	hf	548.6881143846326
13	6	1.0	imsrg	545.0729166034931
13	6	1.0	mp2	545.0569899885044
13	7	1.0	hf	892.082462772371
13	7	1.0	imsrg	888.1363403193087
13	7	1.0	mp2	887.9725418554111
14	1	0.28	hf	1.141711954866618
14	1	0.28	imsrg	0.9971390072521591
14	1	0.28	mp2	1.0211007391492557
14	1	1.0	hf	3.161908466430935
14	1	1.0	imsrg	2.99385605293999
14	1	1.0	mp2	3.0075077510494377
14	2	0.1	hf	3.852381060840645
14	2	0.1	imsrg	3.4950238575639454
14	2	0.1	mp2	3.5449187302134035
14	2	0.28	hf	8.019569333302407
14	2	0.28	imsrg	7.573080997565052
14	2	0.28	mp2	7.608218634027724
14	2	1.0	hf	20.71921476527758
14	2	1.0	imsrg	20.16805124141985
14	2	1.0	mp2	20.19386630008164
14	3	0.1	hf	12.924756396514438
14	3	0.1	imsrg	12.22079836690592
14	3	0.1	mp2	12.261434545116563
14	3	0.28	hf	26.550026617358377
14	3	0.28	imsrg	25.629855303288647
14	3	0.28	mp2	25.662982138382937
14	3	1.0	hf	66.91132151317083
14	3	1.0	imsrg	65.76277941999116
14	3	1.0	mp2	65.78973834835338
14	4	0.1	hf	31.190172857365596
14	4	0.1	imsrg	29.968475406189444
14	4	0.1	mp2	30.04931294915877
14	4	0.28	hf	63.53943836194596
14	4	0.28	imsrg	61.97232103474589
14	4	0.28	mp2	62.01350425417205
14	4	1.0	hf	158.00431698424592
14	4	1.0	imsrg	156.06651219532705
14	4	1.0	mp2	156.08812570329187
14	5	0.1	hf	63.16952917212341
14	5	0.1	imsrg	61.23944841818235
14	5	0.1	mp2	61.51507091599309
14	5	0.28	hf	126.74857265664693
14	5	0.28	imsrg	124.34520026073001
14	5	0.28	mp2	124.47203004719351
14	5	1.0	hf	311.8638871103354
14	5	1.0	imsrg	308.9924660599597
14	5	1.0	mp2	309.00066030165533
14	6	0.1	hf	114.64983444992119
14	6	0.1	imsrg	112.5309474053556
14	6	0.1	mp2	112.65185404638916
14	6	0.28	hf	225.64147479844365
14	6	0.28	imsrg	222.710177782758
14	6	0.28	mp2	222.79292045146886
14	6	1.0	hf	547.9074931868863
14	6	1.0	imsrg	544.0770450741365
14	6	1.0	mp2	544.0530371904473
14	7	1.0	hf	889.7654681455771
14	7	1.0	imsrg	885.2798284011855
14	7	1.0	mp2	885.1397272992749
15	1	0.28	hf	1.1417119545454528
15	1	0.28	imsrg	0.9971164771417742
15	1	0.28	mp2	1.0203553111025547
15	1	1.0	hf	3.1619084288605404
15	1	1.0	imsrg	2.9935076127661246
15	1	1.0	mp2	3.006515857256452
15	2	0.1	hf	3.852380936302795
15	2	0.1	imsrg	3.4952895530127757
15	2	0.1	mp2	3.5422921874824786
15	2	0.28	hf	8.019569235961756
15	2	0.28	imsrg	7.572637569032101
15	2	0.28	mp2	7.60468621992095
15	2	1.0	hf	20.719214747507095
15	2	1.0	imsrg	20.16574160360481
15	2	1.0	mp2	20.18895651151379
15	3	0.1	hf	12.924658735226831
15	3	0.1	imsrg	12.22118705844346
15	3	0.1	mp2	12.253146294782375
15	3	0.28	hf	26.550024932408114
15	3	0.28	imsrg	25.627661010985282
15	3	0.28	mp2	25.6524041844649
15	3	1.0	hf	66.91132136182122
15	3	1.0	imsrg	65.75440241689863
15	3	1.0	mp2	65.77518287132524
15	4	0.1	hf	31.16860419848128
15	4	0.1	imsrg	29.954615705694263
15	4	0.1	mp2	30.003225155332085
15	4	0.28	hf	63.53900655802117
15	4	0.28	imsrg	61.96452706229508
15	4	0.28	mp2	61.9864664474677
15	4	1.0	hf	158.00431481212576
15	4	1.0	imsrg	156.0424435077731
15	4	1.0	mp2	156.05334524859538
15	5	0.1	hf	62.77830844979631
15	5	0.1	imsrg	60.88550457556627
15	5	0.1	mp2	61.07662034809013
15	5	0.28	hf	126.5596814917315
15	5	0.28	imsrg	124.15328024456323
15	5	0.28	mp2	124.21725283315813
15	5	1.0	hf	311.8603985582427
15	5	1.0	imsrg	308.9306231887532
15	5	1.0	mp2	308.92354930338325
15	6	0.28	hf	224.9375245767668
15	6	0.28	imsrg	221.73226415089655
15	6	0.28	mp2	221.84545391023997
15	6	1.0	hf	547.8010210912266
15	6	1.0	imsrg	543.8093218729799
15	6	1.0	mp2	543.7782024994356
15	7	0.28	hf	370.0874169645669
15	7	0.28	imsrg	366.5165501380641
15	7	0.28	mp2	366.50004959495254
15	7	1.0	hf	887.3021307004698
15	7	1.0	imsrg	882.4608403126759
15	7	1.0	mp2	882.3427619475603
16	5	0.1	hf	62.610353556164675
16	5	0.1	imsrg	60.651698572683
16	5	0.1	mp2	60.82650387760514
16	5	0.28	hf	126.52569475493111
16	5	0.28	imsrg	124.10411665946745
16	5	0.28	mp2	124.12790488434007
16	5	1.0	hf	311.8602576439238
16	5	1.0	imsrg	308.88297468749806
16	5	1.0	mp2	308.86114086226416
16	6	0.1	hf	112.58697006964931
16	6	0.1	imsrg	110.15812289252858
16	6	0.1	mp2	110.32522627157749
16	6	0.28	hf	224.18949795091675
16	6	0.28	imsrg	220.8759092464811
16	6	0.28	mp2	220.96388546778593
16	6	1.0	hf	547.6912813104875
16	6	1.0	imsrg	543.5977587441181
16	6	1.0	mp2	543.5443713454677
16	7	1.0	hf	886.7047187214671
16	7	1.0	imsrg	881.5277999771681
16	7	1.0	mp2	881.4280494581417
17	5	0.1	hf	62.42657256167444
17	5	0.1	imsrg	60.53341332618779
17	5	0.1	mp2	60.612536243708405
17	5	0.28	hf	126.49266403452374
17	5	0.28	imsrg	124.07032801651584
17	5	0.28	mp2	124.0558126905172
17	5	1.0	imsrg	308.8452750729166
17	6	0.1	hf	112.01462274932642
17	6	0.1	imsrg	109.36129248738598
