# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method) -> energy
#
interaction num_shells num_filled freq method energy
normal 7 3 1.0 mp2 66.06735665125801
normal 7 4 0.28 hf 66.33661278550194
normal 7 4 0.28 imsrg 65.35873201840968
normal 7 4 0.28 mp2 65.43934145917412
normal 7 4 1.0 hf 159.95872216889055
normal 7 4 1.0 imsrg 158.7748509812013
normal 7 4 1.0 mp2 158.79943214192807
normal 7 5 0.28 hf 139.07303787944497
normal 7 5 0.28 imsrg 138.26586599437337
normal 7 5 0.28 mp2 138.2793780185728
normal 7 5 1.0 hf 322.6846623153283
normal 7 5 1.0 imsrg 321.67810250435974
normal 7 5 1.0 mp2 321.62010019981153
normal 8 1 0.28 hf 1.1417172629191237
normal 8 1 0.28 imsrg 0.9975829520617562
normal 8 1 0.28 mp2 1.0292311981611477
normal 8 1 0.5 hf 1.79974546769131
normal 8 1 0.5 imsrg 1.646902930843246
normal 8 1 0.5 mp2 1.6723900675022227
normal 8 1 1.0 hf 3.1619090104416836
normal 8 1 1.0 imsrg 2.9983715898606227
normal 8 1 1.0 mp2 3.01859058063503
normal 8 2 0.1 hf 3.8528798935552797
normal 8 2 0.1 imsrg 3.490620933647526
normal 8 2 0.1 mp2 3.5754203507876845
normal 8 2 0.28 hf 8.019625257809643
normal 8 2 0.28 imsrg 7.5802072282662545
normal 8 2 0.28 mp2 7.649790885166423
normal 8 2 0.5 hf 12.271361454501385
normal 8 2 0.5 imsrg 11.791512441809617
normal 8 2 0.5 mp2 11.8532472107194
normal 8 2 1.0 hf 20.719248440081017
normal 8 2 1.0 imsrg 20.201983927952824
normal 8 2 1.0 mp2 20.25223504223603
normal 8 3 0.28 hf 26.651148534667623
normal 8 3 0.28 imsrg 25.742574913164002
normal 8 3 0.28 mp2 25.900027745418296
normal 8 3 0.5 hf 40.263751958132325
normal 8 3 0.5 imsrg 39.30358150844754
normal 8 3 0.5 mp2 39.41649227059512
normal 8 3 1.0 hf 66.92309448174217
normal 8 3 1.0 imsrg 65.91121247166285
normal 8 3 1.0 mp2 65.98562048702013
normal 8 4 0.1 hf 32.90760988092756
normal 8 4 0.1 imsrg 32.11004980958241
normal 8 4 0.1 mp2 32.222558134635754
normal 8 4 0.28 hf 64.75479197429374
normal 8 4 0.28 imsrg 63.6663679323828
normal 8 4 0.28 mp2 63.758431325456826
normal 8 4 1.0 hf 158.4001723310519
normal 8 4 1.0 imsrg 156.96262116324223
normal 8 4 1.0 mp2 157.0105968803893
normal 8 5 1.0 hf 318.4354436415082
normal 8 5 1.0 imsrg 316.85615671762935
normal 8 5 1.0 mp2 316.79562137469657
normal 8 6 1.0 hf 574.7947270252104
normal 8 6 1.0 imsrg 573.5345984919701
normal 8 6 1.0 mp2 573.4373297993991
normal 9 1 0.28 hf 1.1417125796139904
normal 9 1 0.28 imsrg 0.997425748461382
normal 9 1 0.28 mp2 1.0271733254225075
normal 9 1 0.5 hf 1.799742604094944
normal 9 1 0.5 imsrg 1.6462904418341733
normal 9 1 0.5 mp2 1.6699827072763684
normal 9 1 1.0 hf 3.161908943432632
normal 9 1 1.0 imsrg 2.997090801870449
normal 9 1 1.0 mp2 3.015743448211153
normal 9 2 0.1 hf 3.8525908541247826
normal 9 2 0.1 imsrg 3.492507329769491
normal 9 2 0.1 mp2 3.567396645652988
normal 9 2 0.28 hf 8.019611071102515
normal 9 2 0.28 imsrg 7.577959084473717
normal 9 2 0.28 mp2 7.638667766972342
normal 9 2 0.5 hf 12.271337397564219
normal 9 2 0.5 imsrg 11.785931451262625
normal 9 2 0.5 mp2 11.840270242447218
normal 9 2 1.0 hf 20.71924817502896
normal 9 2 1.0 imsrg 20.191486691782526
normal 9 2 1.0 mp2 20.23667922122504
normal 9 3 0.1 hf 13.000151223588313
normal 9 3 0.1 imsrg 12.251542487040092
normal 9 3 0.1 mp2 12.414097447582463
normal 9 3 0.28 hf 26.559696912254047
normal 9 3 0.28 imsrg 25.659981142136115
normal 9 3 0.28 mp2 25.768865668917023
normal 9 3 0.5 hf 40.21668827567011
normal 9 3 0.5 imsrg 39.23754964279721
normal 9 3 0.5 mp2 39.32642117183347
normal 9 3 1.0 hf 66.91224417197728
normal 9 3 1.0 imsrg 65.85944982445005
normal 9 3 1.0 mp2 65.9253062833939
normal 9 4 0.28 hf 64.30908782170387
normal 9 4 0.28 imsrg 62.9466616838631
normal 9 4 0.28 mp2 63.1126598797515
normal 9 4 1.0 hf 158.2260300482401
normal 9 4 1.0 imsrg 156.58073529566693
normal 9 4 1.0 mp2 156.65718896958617
normal 9 5 0.1 hf 68.01271888965287
normal 9 5 0.1 imsrg 66.91278434529202
normal 9 5 0.1 mp2 67.02692709904991
normal 9 5 0.28 hf 131.15362710865313
normal 9 5 0.28 imsrg 129.74635965082348
normal 9 5 0.28 mp2 129.78902771413664
normal 9 5 1.0 hf 314.08002684937424
normal 9 5 1.0 imsrg 312.18902846988885
normal 9 5 1.0 mp2 312.16670836665935
normal 9 7 1.0 hf 943.1459911153559
normal 9 7 1.0 imsrg 941.6160630612554
normal 9 7 1.0 mp2 941.4745605201188
normal 10 1 0.28 hf 1.1417125796139904
normal 10 1 0.28 imsrg 0.9973248769739572
normal 10 1 0.28 mp2 1.025500811116041
normal 10 1 0.5 hf 1.7997426042717803
normal 10 1 0.5 imsrg 1.6458361429895128
normal 10 1 0.5 mp2 1.6680258419454919
normal 10 1 1.0 hf 3.161908943432632
normal 10 1 1.0 imsrg 2.9961234400388674
normal 10 1 1.0 mp2 3.01344668508486
normal 10 2 0.1 hf 3.85239270981223
normal 10 2 0.1 imsrg 3.4932961970180076
normal 10 2 0.1 mp2 3.561134624417369
normal 10 2 0.2 hf 6.293542448321292
normal 10 2 0.2 imsrg 5.878852006056075
normal 10 2 0.2 mp2 5.9356602373355845
normal 10 2 0.28 hf 8.019570964302
normal 10 2 0.28 imsrg 7.576352368501351
normal 10 2 0.28 mp2 7.629943155206533
normal 10 2 0.3 hf 8.431401949981353
normal 10 2 0.3 imsrg 7.982433965252766
normal 10 2 0.3 mp2 8.03539358324885
normal 10 2 0.4 hf 10.405166207623092
normal 10 2 0.4 imsrg 9.932932887080337
normal 10 2 0.4 mp2 9.983198073323576
normal 10 2 0.5 hf 12.271326028974459
normal 10 2 0.5 imsrg 11.782030377460833
normal 10 2 0.5 mp2 11.83008700773133
normal 10 2 0.6 hf 14.059696804694651
normal 10 2 0.6 imsrg 13.55723994574539
normal 10 2 0.6 mp2 13.60337631456496
normal 10 2 0.7 hf 15.788353744106152
normal 10 2 0.7 imsrg 15.275365155649988
normal 10 2 0.7 mp2 15.319796933140244
normal 10 2 0.8 hf 17.469256964502865
normal 10 2 0.8 imsrg 16.947628577090182
normal 10 2 0.8 mp2 16.990506805215176
normal 10 2 0.9 hf 19.110816402627417
normal 10 2 0.9 imsrg 18.58190650982993
normal 10 2 0.9 mp2 18.62340125185863
normal 10 2 1.0 hf 20.719217056438396
normal 10 2 1.0 imsrg 20.18408434488839
normal 10 2 1.0 mp2 20.22431694009101
normal 10 2 1.5 hf 28.39820520319741
normal 10 2 1.5 imsrg 27.84165310029045
normal 10 2 1.5 mp2 27.87690605299807
normal 10 2 2.0 hf 35.670143566372666
normal 10 2 2.0 imsrg 35.1007182017696
normal 10 2 2.0 mp2 35.132439088578764
normal 10 2 4.0 hf 62.738940317044
normal 10 2 4.0 imsrg 62.14538393526258
normal 10 2 4.0 mp2 62.169183488071674
normal 10 2 8.0 hf 112.79242387854993
normal 10 2 8.0 imsrg 112.18240743564658
normal 10 2 8.0 mp2 112.19968882664446
normal 10 2 16.0 hf 207.0558543504844
normal 10 2 16.0 imsrg 206.4349290683391
normal 10 2 16.0 mp2 206.44706742110674
normal 10 2 32.0 hf 387.262862737765
normal 10 2 32.0 imsrg 386.63448729012987
normal 10 2 32.0 mp2 386.64300366915666
normal 10 2 64.0 hf 735.8667254180398
normal 10 2 64.0 imsrg 735.2333273052885
normal 10 2 64.0 mp2 735.2392588723317
normal 10 2 128.0 hf 1416.3386123693485
normal 10 2 128.0 imsrg 1415.701804798518
normal 10 2 128.0 mp2 1415.7059125541377
normal 10 2 256.0 hf 2753.589079369782
normal 10 2 256.0 imsrg 2752.9499614540377
normal 10 2 256.0 mp2 2752.9527663008234
normal 10 2 512.0 hf 5394.564027163982
normal 10 2 512.0 imsrg 5393.923307561928
normal 10 2 512.0 mp2 5393.9252082784815
normal 10 2 1024.0 hf 10629.087494313324
normal 10 2 1024.0 imsrg 10628.445660374307
normal 10 2 1024.0 mp2 10628.446930208276
normal 10 3 0.1 hf 12.96987237222771
normal 10 3 0.1 imsrg 12.213815327514443
normal 10 3 0.1 mp2 12.351906628421453
normal 10 3 0.28 hf 26.55443169110841
normal 10 3 0.28 imsrg 25.648402235174174
normal 10 3 0.28 mp2 25.73471350852759
normal 10 3 0.5 hf 40.21625179363066
normal 10 3 0.5 imsrg 39.21783789439977
normal 10 3 0.5 mp2 39.292761120501645
normal 10 3 1.0 hf 66.9120351319319
normal 10 3 1.0 imsrg 65.82644806193642
normal 10 3 1.0 mp2 65.88479301774808
normal 10 4 0.1 hf 31.823086885660043
normal 10 4 0.1 imsrg 30.702070162526788
normal 10 4 0.1 mp2 30.907559637359125
normal 10 4 0.28 hf 63.80561220356212
normal 10 4 0.28 imsrg 62.35026032680066
normal 10 4 0.28 mp2 62.500120271593076
normal 10 4 1.0 hf 158.01766678457128
normal 10 4 1.0 imsrg 156.27042351960787
normal 10 4 1.0 mp2 156.33543616174393
normal 10 5 0.28 hf 129.62464300179522
normal 10 5 0.28 imsrg 127.84746017953574
normal 10 5 0.28 mp2 127.92655189479525
normal 10 5 1.0 hf 313.17073345660845
normal 10 5 1.0 imsrg 310.88370957723043
normal 10 5 1.0 mp2 310.9097872994006
normal 10 6 1.0 hf 555.393205049303
normal 10 6 1.0 imsrg 553.04380223321
normal 10 6 1.0 mp2 552.9427461335251
normal 11 1 0.28 hf 1.1417119960206252
normal 11 1 0.28 imsrg 0.9972549561438571
normal 11 1 0.28 mp2 1.0241144110475122
normal 11 1 0.5 hf 1.7997418133436016
normal 11 1 0.5 imsrg 1.6454872900764754
normal 11 1 0.5 mp2 1.6664125806772805
normal 11 1 1.0 hf 3.16190860901365
normal 11 1 1.0 imsrg 2.995368553304228
normal 11 1 1.0 mp2 3.011562389516064
normal 11 2 0.1 hf 3.85239085383425
normal 11 2 0.1 imsrg 3.493984860121003
normal 11 2 0.1 mp2 3.5558775071550874
normal 11 2 0.28 hf 8.01957087770659
normal 11 2 0.28 imsrg 7.57519142187663
normal 11 2 0.28 mp2 7.622941255027149
normal 11 2 0.5 hf 12.27132408892804
normal 11 2 0.5 imsrg 11.779136314019938
normal 11 2 0.5 mp2 11.821838244893787
normal 11 2 1.0 hf 20.719215431730746
normal 11 2 1.0 imsrg 20.178535715996347
normal 11 2 1.0 mp2 20.21445484165067
normal 11 3 0.1 hf 12.933578294404988
normal 11 3 0.1 imsrg 12.218495401543858
normal 11 3 0.1 mp2 12.30331642059479
normal 11 3 0.28 hf 26.550044920189062
normal 11 3 0.28 imsrg 25.640912580829166
normal 11 3 0.28 mp2 25.709210796831137
normal 11 3 0.5 hf 40.2161948529233
normal 11 3 0.5 imsrg 39.204574375266255
normal 11 3 0.5 mp2 39.26624501117354
normal 11 3 1.0 hf 66.91136453018214
normal 11 3 1.0 imsrg 65.8034932452236
normal 11 3 1.0 mp2 65.8527623720197
normal 11 4 0.1 hf 31.606556239481915
normal 11 4 0.1 imsrg 30.268117799471575
normal 11 4 0.1 mp2 30.579000392892024
normal 11 4 0.28 hf 63.695332531637554
normal 11 4 0.28 imsrg 62.13683574905838
normal 11 4 0.28 mp2 62.29147847499537
normal 11 4 1.0 hf 158.01027630012817
normal 11 4 1.0 imsrg 156.19251079047072
normal 11 4 1.0 mp2 156.2489953927696
normal 11 5 0.1 hf 65.02427196853566
normal 11 5 0.1 imsrg 63.62586153728569
normal 11 5 0.1 mp2 63.762087672861256
normal 11 5 0.28 hf 128.06393344994606
