# Addition and removal energies (HF, IMSRG, QDPT)
#
# num_shells: total number of shells in basis.
#
# num_filled: number of shells fully occupied by electrons;
# The number of electrons is given by num_filled * (num_filled + 1).
#
# freq: frequency of the harmonic oscillator potential in atomic units.
#
# is_hole: whether the row denotes addition energy or removal energy;
# 0 => addition, 1 => removal.
#
# energy: value of addition/removal energy in atomic units.
#
num_shells num_filled freq method is_hole energy
10 3 1 hf+qpt3 1 8.88751
11 1 0.28 hf+qpt3 1 0.754456
11 1 0.5 hf+qpt3 1 1.17243
11 1 1 hf+qpt3 1 2.01362
11 2 0.1 hf+qpt3 1 1.04438
11 2 0.28 hf+qpt3 1 2.11554
11 2 0.5 hf+qpt3 1 3.18334
11 2 1 hf+qpt3 1 5.25313
11 3 0.1 hf+qpt3 1 1.7993
11 3 0.28 hf+qpt3 1 3.62501
11 3 0.5 hf+qpt3 1 5.42848
11 3 1 hf+qpt3 1 8.88431
12 1 0.28 hf+qpt3 1 0.755091
12 1 0.5 hf+qpt3 1 1.1727
12 1 1 hf+qpt3 1 2.01342
12 2 0.1 hf+qpt3 1 1.04565
12 2 0.28 hf+qpt3 1 2.11603
12 2 0.5 hf+qpt3 1 3.18327
12 2 1 hf+qpt3 1 5.25233
12 3 0.1 hf+qpt3 1 1.79807
12 3 0.28 hf+qpt3 1 3.62482
12 3 0.5 hf+qpt3 1 5.42755
12 3 1 hf+qpt3 1 8.88251
13 1 0.28 hf+qpt3 1 0.755677
13 1 0.5 hf+qpt3 1 1.17298
13 1 1 hf+qpt3 1 2.0133
13 2 0.1 hf+qpt3 1 1.04685
13 2 0.28 hf+qpt3 1 2.11656
13 2 0.5 hf+qpt3 1 3.18332
13 2 1 hf+qpt3 1 5.25175
13 3 0.1 hf+qpt3 1 1.79831
13 3 0.28 hf+qpt3 1 3.62486
13 3 0.5 hf+qpt3 1 5.42707
13 3 1 hf+qpt3 1 8.88117
14 1 0.28 hf+qpt3 1 0.756217
14 1 0.5 hf+qpt3 1 1.17325
14 1 1 hf+qpt3 1 2.01322
14 2 0.1 hf+qpt3 1 1.04796
14 2 0.28 hf+qpt3 1 2.11708
14 2 0.5 hf+qpt3 1 3.18343
14 2 1 hf+qpt3 1 5.25132
14 3 0.1 hf+qpt3 1 1.79956
14 3 0.28 hf+qpt3 1 3.6251
14 3 0.5 hf+qpt3 1 5.42683
14 3 1 hf+qpt3 1 8.88022
6 1 0.28 imsrg 1 0.691463
6 1 0.5 imsrg 1 1.11645
6 1 1 imsrg 1 1.96411
6 2 0.1 imsrg 1 0.93136
6 2 0.28 imsrg 1 1.99028
6 2 0.5 imsrg 1 3.05505
6 2 1 imsrg 1 5.12753
6 3 0.28 imsrg 1 3.69952
6 3 0.5 imsrg 1 5.46954
6 3 1 imsrg 1 8.8769
7 1 0.28 imsrg 1 0.691592
7 1 0.5 imsrg 1 1.11588
7 1 1 imsrg 1 1.96233
7 2 0.1 imsrg 1 0.924394
7 2 0.28 imsrg 1 1.98965
7 2 0.5 imsrg 1 3.05269
7 2 1 imsrg 1 5.12109
7 3 0.1 imsrg 1 1.80014
7 3 0.28 imsrg 1 3.56563
7 3 0.5 imsrg 1 5.32659
7 3 1 imsrg 1 8.74134
8 1 0.28 imsrg 1 0.69174
8 1 0.5 imsrg 1 1.11553
8 1 1 imsrg 1 1.96115
8 2 0.1 imsrg 1 0.929389
8 2 0.28 imsrg 1 1.9896
8 2 0.5 imsrg 1 3.05151
8 2 1 imsrg 1 5.11736
8 3 0.28 imsrg 1 3.50746
8 3 0.5 imsrg 1 5.2878
8 3 1 imsrg 1 8.72137
9 1 0.28 imsrg 1 0.691826
9 1 0.5 imsrg 1 1.11526
9 1 1 imsrg 1 1.96027
9 2 0.1 imsrg 1 0.930361
9 2 0.28 imsrg 1 1.98954
9 2 0.5 imsrg 1 3.05066
9 2 1 imsrg 1 5.11508
9 3 0.1 imsrg 1 1.68776
9 3 0.28 imsrg 1 3.47413
9 3 0.5 imsrg 1 5.26167
9 3 1 imsrg 1 8.70748
10 1 0.28 imsrg 1 0.691907
10 1 0.5 imsrg 1 1.11506
10 1 1 imsrg 1 1.9596
10 2 0.1 imsrg 1 0.930954
10 2 0.28 imsrg 1 1.98948
10 2 0.5 imsrg 1 3.05006
10 2 1 imsrg 1 5.11348
10 3 0.1 imsrg 1 1.67066
10 3 0.28 imsrg 1 3.47122
10 3 0.5 imsrg 1 5.25992
10 3 1 imsrg 1 8.70324
11 1 0.28 imsrg 1 0.691967
11 1 0.5 imsrg 1 1.11489
11 1 1 imsrg 1 1.95907
11 2 0.1 imsrg 1 0.931282
11 2 0.28 imsrg 1 1.98943
11 2 0.5 imsrg 1 3.04961
11 2 1 imsrg 1 5.11231
11 3 0.1 imsrg 1 1.66955
11 3 0.28 imsrg 1 3.46976
11 3 0.5 imsrg 1 5.25883
11 3 1 imsrg 1 8.70036
12 1 0.28 imsrg 1 0.692019
12 1 0.5 imsrg 1 1.11476
12 1 1 imsrg 1 1.95864
12 2 0.1 imsrg 1 0.931514
12 2 0.28 imsrg 1 1.9894
12 2 0.5 imsrg 1 3.04926
12 2 1 imsrg 1 5.1114
12 3 0.1 imsrg 1 1.66865
12 3 0.28 imsrg 1 3.46955
12 3 0.5 imsrg 1 5.25809
12 3 1 imsrg 1 8.69855
13 1 0.28 imsrg 1 0.692061
13 1 0.5 imsrg 1 1.11466
13 1 1 imsrg 1 1.95829
13 2 0.1 imsrg 1 0.931697
13 2 0.28 imsrg 1 1.98938
13 2 0.5 imsrg 1 3.04898
13 2 1 imsrg 1 5.11068
13 3 0.1 imsrg 1 1.66919
13 3 0.28 imsrg 1 3.46939
13 3 0.5 imsrg 1 5.25749
13 3 1 imsrg 1 8.69717
14 1 0.28 imsrg 1 0.692096
14 1 0.5 imsrg 1 1.11456
14 1 1 imsrg 1 1.958
14 2 0.1 imsrg 1 0.931849
14 2 0.28 imsrg 1 1.98937
14 2 0.5 imsrg 1 3.04876
14 2 1 imsrg 1 5.11009
14 3 0.1 imsrg 1 1.6694
14 3 0.28 imsrg 1 3.46927
14 3 0.5 imsrg 1 5.25704
14 3 1 imsrg 1 8.69614
6 1 0.28 imsrg+qpt2 1 0.706236
6 1 0.5 imsrg+qpt2 1 1.13774
6 1 1 imsrg+qpt2 1 1.99317
6 2 0.1 imsrg+qpt2 1 0.942879
6 2 0.28 imsrg+qpt2 1 2.02629
6 2 0.5 imsrg+qpt2 1 3.11001
6 2 1 imsrg+qpt2 1 5.20575
6 3 0.28 imsrg+qpt2 1 3.77891
6 3 0.5 imsrg+qpt2 1 5.56431
6 3 1 imsrg+qpt2 1 8.99512
7 1 0.28 imsrg+qpt2 1 0.706049
7 1 0.5 imsrg+qpt2 1 1.13666
7 1 1 imsrg+qpt2 1 1.9907
7 2 0.1 imsrg+qpt2 1 0.936072
7 2 0.28 imsrg+qpt2 1 2.02487
7 2 0.5 imsrg+qpt2 1 3.10578
7 2 1 imsrg+qpt2 1 5.19676
7 3 0.1 imsrg+qpt2 1 1.83317
7 3 0.28 imsrg+qpt2 1 3.62982
7 3 0.5 imsrg+qpt2 1 5.41102
7 3 1 imsrg+qpt2 1 8.85161
8 1 0.28 imsrg+qpt2 1 0.706006
8 1 0.5 imsrg+qpt2 1 1.13599
8 1 1 imsrg+qpt2 1 1.98908
8 2 0.1 imsrg+qpt2 1 0.94169
8 2 0.28 imsrg+qpt2 1 2.02442
8 2 0.5 imsrg+qpt2 1 3.10351
8 2 1 imsrg+qpt2 1 5.19148
8 3 0.28 imsrg+qpt2 1 3.56434
8 3 0.5 imsrg+qpt2 1 5.36724
8 3 1 imsrg+qpt2 1 8.82915
9 1 0.28 imsrg+qpt2 1 0.705973
9 1 0.5 imsrg+qpt2 1 1.1355
9 1 1 imsrg+qpt2 1 1.98789
9 2 0.1 imsrg+qpt2 1 0.942726
9 2 0.28 imsrg+qpt2 1 2.024
9 2 0.5 imsrg+qpt2 1 3.10199
9 2 1 imsrg+qpt2 1 5.18821
9 3 0.1 imsrg+qpt2 1 1.71026
9 3 0.28 imsrg+qpt2 1 3.52666
9 3 0.5 imsrg+qpt2 1 5.33805
9 3 1 imsrg+qpt2 1 8.81417
10 1 0.28 imsrg+qpt2 1 0.705967
10 1 0.5 imsrg+qpt2 1 1.13514
10 1 1 imsrg+qpt2 1 1.987
10 2 0.1 imsrg+qpt2 1 0.943325
10 2 0.28 imsrg+qpt2 1 2.02371
10 2 0.5 imsrg+qpt2 1 3.10094
10 2 1 imsrg+qpt2 1 5.18593
10 3 0.1 imsrg+qpt2 1 1.69136
10 3 0.28 imsrg+qpt2 1 3.52344
10 3 0.5 imsrg+qpt2 1 5.33517
10 3 1 imsrg+qpt2 1 8.80831
11 1 0.28 imsrg+qpt2 1 0.705964
11 1 0.5 imsrg+qpt2 1 1.13486
11 1 1 imsrg+qpt2 1 1.9863
11 2 0.1 imsrg+qpt2 1 0.943678
11 2 0.28 imsrg+qpt2 1 2.02349
11 2 0.5 imsrg+qpt2 1 3.10016
11 2 1 imsrg+qpt2 1 5.18426
11 3 0.1 imsrg+qpt2 1 1.69048
11 3 0.28 imsrg+qpt2 1 3.5216
11 3 0.5 imsrg+qpt2 1 5.3333
11 3 1 imsrg+qpt2 1 8.80433
12 1 0.28 imsrg+qpt2 1 0.705966
12 1 0.5 imsrg+qpt2 1 1.13464
12 1 1 imsrg+qpt2 1 1.98574
12 2 0.1 imsrg+qpt2 1 0.943921
12 2 0.28 imsrg+qpt2 1 2.02334
12 2 0.5 imsrg+qpt2 1 3.09957
12 2 1 imsrg+qpt2 1 5.18298
